UPC,Winery,Wine,Varietal,Region,Year,Price,Quantity,Rating,URL,Notes,Size
086785350714,Jean-Luc Colombo,La  Violette,Viognier,France,2002,10,,,,,
086785353180,Remy Pannier Loire,Sancerre,Sauvignon Blanc,Sancerre,2004,,,,,,750ml
086785353203,Remy Paunier,Vouvray,Chenin Blanc,Loire,2004,,,,,,
086785353227,Remy Pannier,Muscadet Sevre Et Maine,Melon de Bourgogne,Loire,2000,,,,,,750ml
086785361055,Poliziano,Nobile di Montepulciano,Montepulciano,Toscana IGT,2007,$30,,88,,"WS: fruity red, with slightly austere, chewy tannins. Medium-bodied, with good ripe fruit underneath it all. Should soften with bottle age. 10,835 cases made",750ml
086785371023,Feudi Di San Gregorion,Grego Di Tufo,White Wine,Portugal,2002,,,,,,750ml
086785371047,Fiano Di Avellino,,White Wine,Italy,2002,20.99,,,,,
086785371061,Campanaro,,White Wine,Italy,2003,,,,,,
086785371160,Feudi di San Gregorio,Serpico Irpinia Aglianico,Red Wine,Italy,2001,58,,WA98,,"Rich chocolate, dark fruits, spice with very long finish",
086785381121,Candido,Salice Salentino,Red Wine,"Sandonaci, Italy",1998 R,6.99,,,,,
086785410111,Marchesi de Barolo,Canubi,Barolo,Barolo,1995,45,,,,,750ml
086785410173,Marchesi Di Barolo,Ruvei,Barbera,Piedmont,2001,13.00,,,,,
086785410241,Marchesi de Barolo,Canubi,Barolo,Barolo,1995,45,,,,,750ml
086785410401,Marchesi Di Barolo,,Nebbiolo,Barolo,2001,35.99,,WS 91,,"a very perfumed wine, which has an intense rose bouquet with scents of licorice and spice, full-bodied with strawberry and raspberry character,  finish is clean and silky.",750ml
086785410692,Marchesi di Barolo,Cannubi,Nebbiolo,Barolo,2001,67.00,,,www.marchesibarolo.com,,750ml
086785450001,,Lancers Wine,Rose,Portugal,,8.00,,,,,750ml
086785450308,Jose Maria da Fonseca,Periquita 2004,,Portugal,2004,9.99,,,,,
086785470054,Santa Rita,120,Sauvignon Blanc,Chile,2006,,,,,,750ml
086785470139,Santa Rita,Reserva,Cabernet Sauvignon,Chile,2004,9.00,,,,,750ml
086785470238,Santa Rita,Reserva,carmenere,Chile,2008,17,,88,,"More than your simple red-fruited Carmenere, the '08 Santa Rita Coleccion Privada Carmenere delivers some spice and savory herb notes; well done.",750ml
086785470252,Santa Rita Medalla Real,Cabernet Sauvignon,Cabernet Sauvignon,Chile,2005,19.00,,,,"The nose veers between herbal and ripe, while the palate shows nothing but pure cassis, cherry and Maipo terroir. Its tight, structured and still ready to drink. ",750ml
086785470320,Santa Rita,Floresta Apalta,Cabernet Sauvignon,Chile,2004,36.00,,,,,750ml
086785470382,Medalla Real,Medalla Real Chardonnay,Chardonnay,Portugal,2007,,,,,,
086785490403,Laboure Roi,Pouilly Fuisse,,Burgundy,2001,,,,,,750ml
